APOBEC3H_-_39493307.23-P1P2|APOBEC3H_+_39493488.23-P1P2++APOBEC3H_-_39493307.23-P1P2|APOBEC3H_+_39493488.23-P1P2,2
APOB_-_21266915.23-P1P2|APOB_-_21266941.23-P1P2++APOB_-_21266915.23-P1P2|APOB_-_21266941.23-P1P2,3
APPL2_+_105629891.23-P1P2|APPL2_-_105629866.23-P1P2++APPL2_+_105629891.23-P1P2|APPL2_-_105629866.23-P1P2,7
AQP4_+_24445664.23-P1P2|AQP4_+_24445620.23-P1P2++AQP4_+_24445664.23-P1P2|AQP4_+_24445620.23-P1P2,2
ARFRP1_-_62338974.23-P1P2|ARFRP1_+_62339198.23-P1P2++ARFRP1_-_62338974.23-P1P2|ARFRP1_+_62339198.23-P1P2,2
ARGLU1_+_107220466.23-P1P2|ARGLU1_-_107220477.23-P1P2++ARGLU1_+_107220466.23-P1P2|ARGLU1_-_107220477.23-P1P2,3
ARHGAP10_-_148653268.23-P1P2|ARHGAP10_+_148653282.23-P1P2++ARHGAP10_-_148653268.23-P1P2|ARHGAP10_+_148653282.23-P1P2,4
ARHGAP25_-_68962176.23-P1P2|ARHGAP25_+_68962004.23-P1P2++ARHGAP25_-_68962176.23-P1P2|ARHGAP25_+_68962004.23-P1P2,3
ARHGAP39_+_145911186.23-P1P2|ARHGAP39_+_145911217.23-P1P2++ARHGAP39_+_145911186.23-P1P2|ARHGAP39_+_145911217.23-P1P2,6
ARHGEF16_-_3371005.23-P1P2|ARHGEF16_+_3371660.23-P1P2++ARHGEF16_-_3371005.23-P1P2|ARHGEF16_+_3371660.23-P1P2,1
ARID4B_+_235491249.23-P1P2|ARID4B_-_235491474.23-P1P2++ARID4B_+_235491249.23-P1P2|ARID4B_-_235491474.23-P1P2,1
ARL3_+_104474107.23-P1P2|ARL3_-_104474089.23-P1P2++ARL3_+_104474107.23-P1P2|ARL3_-_104474089.23-P1P2,2
ARL6IP4_-_123465296.23-P1P2|ARL6IP4_+_123465234.23-P1P2++ARL6IP4_-_123465296.23-P1P2|ARL6IP4_+_123465234.23-P1P2,1
