ADRA1D_-_4229926.23-P1P2|ADRA1D_-_4229650.23-P1P2++ADRA1D_-_4229926.23-P1P2|ADRA1D_-_4229650.23-P1P2,4
AGBL5_+_27274578.23-P1|AGBL5_+_27274969.23-P1++AGBL5_+_27274578.23-P1|AGBL5_+_27274969.23-P1,1
AGXT2_-_35047966.23-P1P2|AGXT2_-_35047958.23-P1P2++AGXT2_-_35047966.23-P1P2|AGXT2_-_35047958.23-P1P2,1
AHNAK2_+_105444688.23-P2|AHNAK2_-_105444648.23-P2++AHNAK2_+_105444688.23-P2|AHNAK2_-_105444648.23-P2,1
AHR_-_17338343.23-P1P2|AHR_+_17338317.23-P1P2++AHR_-_17338343.23-P1P2|AHR_+_17338317.23-P1P2,3
AHSP_-_31539252.23-P1P2|AHSP_+_31539439.23-P1P2++AHSP_-_31539252.23-P1P2|AHSP_+_31539439.23-P1P2,1
AKAP8L_-_15529435.23-P1P2|AKAP8L_-_15529375.23-P1P2++AKAP8L_-_15529435.23-P1P2|AKAP8L_-_15529375.23-P1P2,1
AKR1B1_+_134143839.23-P1P2|AKR1B1_-_134143848.23-P1P2++AKR1B1_+_134143839.23-P1P2|AKR1B1_-_134143848.23-P1P2,2
AKT1_+_105261633.23-P1P2|AKT1_+_105262011.23-P1P2++AKT1_+_105261633.23-P1P2|AKT1_+_105262011.23-P1P2,1
ALDH18A1_+_97416133.23-P1P2|ALDH18A1_+_97416448.23-P1P2++ALDH18A1_+_97416133.23-P1P2|ALDH18A1_+_97416448.23-P1P2,3
ALDH6A1_+_74551093.23-P1P2|ALDH6A1_+_74551090.23-P1P2++ALDH6A1_+_74551093.23-P1P2|ALDH6A1_+_74551090.23-P1P2,3
ALG6_+_63833373.23-P1P2|ALG6_-_63833380.23-P1P2++ALG6_+_63833373.23-P1P2|ALG6_-_63833380.23-P1P2,2
AMFR_+_56459315.23-P1P2|AMFR_-_56459192.23-P1P2++AMFR_+_56459315.23-P1P2|AMFR_-_56459192.23-P1P2,3
AMMECR1_+_109561105.23-P1P2|AMMECR1_+_109560923.23-P1P2++AMMECR1_+_109561105.23-P1P2|AMMECR1_+_109560923.23-P1P2,8
AMZ2_-_66244231.23-P1P2|AMZ2_-_66244242.23-P1P2++AMZ2_-_66244231.23-P1P2|AMZ2_-_66244242.23-P1P2,4
ANAPC2_+_140082989.23-P1P2|ANAPC2_+_140082980.23-P1P2++ANAPC2_+_140082989.23-P1P2|ANAPC2_+_140082980.23-P1P2,1
ANAPC4_+_25378934.23-P1P2|ANAPC4_-_25378954.23-P1P2++ANAPC4_+_25378934.23-P1P2|ANAPC4_-_25378954.23-P1P2,2
ANGEL2_+_213188508.23-P1P2|ANGEL2_+_213188808.23-P1P2++ANGEL2_+_213188508.23-P1P2|ANGEL2_+_213188808.23-P1P2,3
ANGPTL1_+_178840213.23-P1P2|ANGPTL1_-_178840143.23-P1P2++ANGPTL1_+_178840213.23-P1P2|ANGPTL1_-_178840143.23-P1P2,5
ANKFY1_+_4166925.23-P1P2|ANKFY1_-_4167096.23-P1P2++ANKFY1_+_4166925.23-P1P2|ANKFY1_-_4167096.23-P1P2,1
ANKMY2_+_16685345.23-P1P2|ANKMY2_-_16685324.23-P1P2++ANKMY2_+_16685345.23-P1P2|ANKMY2_-_16685324.23-P1P2,3
ANKRD13B_+_27920377.23-P1P2|ANKRD13B_+_27920172.23-P1P2++ANKRD13B_+_27920377.23-P1P2|ANKRD13B_+_27920172.23-P1P2,4
ANKRD27_+_33166026.23-P1P2|ANKRD27_+_33166056.23-P1P2++ANKRD27_+_33166026.23-P1P2|ANKRD27_+_33166056.23-P1P2,2
ANKRD33B_+_10564429.23-P1P2|ANKRD33B_+_10564449.23-P1P2++ANKRD33B_+_10564429.23-P1P2|ANKRD33B_+_10564449.23-P1P2,3
ANKRD9_-_102976042.23-P1P2|ANKRD9_+_102976027.23-P1P2++ANKRD9_-_102976042.23-P1P2|ANKRD9_+_102976027.23-P1P2,10
ANKS1A_+_34857078.23-P1P2|ANKS1A_+_34857121.23-P1P2++ADCY10_+_167883329.23-P1P2|ADCY10_-_167882911.23-P1P2,6
ANO1_-_69924499.23-P1P2|ANO1_-_69924717.23-P1P2++ANO1_-_69924499.23-P1P2|ANO1_-_69924717.23-P1P2,4
ANP32B_+_100745631.23-P1P2|ANP32B_-_100745885.23-P1P2++ANP32B_+_100745631.23-P1P2|ANP32B_-_100745885.23-P1P2,1
AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2++AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2,2
APBA2_+_29131551.23-P1P2|APBA2_-_29131600.23-P1P2++APBA2_+_29131551.23-P1P2|APBA2_-_29131600.23-P1P2,1
APBB3_+_139943875.23-P1P2|APBB3_-_139943965.23-P1P2++APBB3_+_139943875.23-P1P2|APBB3_-_139943965.23-P1P2,4
